Country Name;chmort;gdp;gdp_bil
Montenegro; 2,3;5,504167e+09;5,504167e+00
Mongolia;14,0;1,306675e+10;1,306675e+01
Northern Mariana Islands;NA;1,323000e+09;1,323000e+00
Mozambique;54,0;1,471722e+10;1,471722e+01
Mauritania;51,5;5,234818e+09;5,234818e+00
Mauritius;13,6;1,422035e+10;1,422035e+01
Malawi;35,3;7,064971e+09;7,064971e+00
Malaysia; 6,7;3,585819e+11;3,585819e+02
Namibia;29,0;1,452171e+10;1,452171e+01
Niger;48,0;9,290938e+09;9,290938e+00
Nigeria;75,7;3,972696e+11;3,972696e+02
Nicaragua;15,7;1,311785e+10;1,311785e+01
Netherlands; 3,3;9,136585e+11;9,136585e+02
Norway; 2,1;4,341666e+11;4,341666e+02
Nepal;26,7;2,904040e+10;2,904040e+01
Nauru;26,4;1,256285e+08;1,256285e-01
New Zealand; 4,7;2,049239e+11;2,049239e+02
Oman; 9,8;7,927672e+10;7,927672e+01
Pakistan;57,2;3,145882e+11;3,145882e+02
Panama;13,1;6,505510e+10;6,505510e+01
Peru;11,1;2,220450e+11;2,220450e+02
Philippines;22,5;3,309103e+11;3,309103e+02
Palau;16,6;2,839949e+08;2,839949e-01
Papua New Guinea;38,0;2,349761e+10;2,349761e+01
Poland; 3,8;5,856638e+11;5,856638e+02
Puerto Rico;NA;1,011309e+11;1,011309e+02
Portugal; 3,1;2,406745e+11;2,406745e+02
Paraguay;17,2;4,049695e+10;4,049695e+01
West Bank and Gaza;17,3;1,461590e+10;1,461590e+01
Qatar; 5,8;1,913621e+11;1,913621e+02
Romania; 6,1;2,395525e+11;2,395525e+02
Russian Federation; 6,1;1,657555e+12;1,657555e+03
Rwanda;27,0;9,508716e+09;9,508716e+00
Saudi Arabia; 6,0;7,865218e+11;7,865218e+02
Sudan;42,1;4,085154e+10;4,085154e+01
Senegal;31,8;2,412960e+10;2,412960e+01
Singapore; 2,3;3,641567e+11;3,641567e+02
Solomon Islands;17,1;1,395608e+09;1,395608e+00
Sierra Leone;78,5;4,085115e+09;4,085115e+00
El Salvador;11,8;2,605700e+10;2,605700e+01
Somalia;76,6;4,720727e+09;4,720727e+00
