"UF","MUNIC","PESO"
"1","35","00105",9.037638190753
"2","35","00105",13.0662922166482
"3","35","00105",13.0662922166482
"4","35","00105",8.7932541204576
"5","35","00105",8.7932541204576
"6","35","00105",2.2194775223977
"7","35","00105",2.2194775223977
"8","35","00105",2.2194775223977
"9","35","00105",2.2194775223977
"10","35","00105",8.1148072331629
"11","35","00105",8.1148072331629
"12","35","00105",8.1148072331629
"13","35","00105",8.3006411217547
"14","35","00105",4.0791833823589
"15","35","00105",4.0791833823589
"16","35","00105",4.0791833823589
"17","35","00105",4.0791833823589
"18","35","00105",11.7058092793604
"19","35","00105",11.7058092793604
"20","35","00105",10.5446109825072
"21","35","00105",10.5446109825072
"22","35","00105",10.5446109825072
"23","35","00105",10.5446109825072
"24","35","00105",8.0686279633272
"25","35","00105",8.0686279633272
"26","35","00105",8.0686279633272
"27","35","00105",8.0686279633272
"28","35","00105",7.135903788533
"29","35","00105",7.135903788533
"30","35","00105",7.135903788533
"31","35","00105",7.135903788533
"32","35","00105",10.4515407272324
"33","35","00105",10.4515407272324
"34","35","00105",10.4515407272324
"35","35","00105",10.4515407272324
"36","35","00105",10.4515407272324
"37","35","00105",16.6094333532653
"38","35","00105",16.6094333532653
"39","35","00105",16.6094333532653
"40","35","00105",16.6094333532653
"41","35","00105",16.6094333532653
"42","35","00105",14.5821907165376
"43","35","00105",14.5821907165376
"44","35","00105",14.5821907165376
"45","35","00105",14.5821907165376
"46","35","00105",8.3527805832036
"47","35","00105",8.3527805832036
"48","35","00105",8.3527805832036
"49","35","00105",8.3527805832036
"50","35","00105",10.63813990606
"51","35","00105",10.63813990606
"52","35","00105",3.1850717027169
"53","35","00105",3.1850717027169
"54","35","00105",3.1850717027169
"55","35","00105",3.1850717027169
"56","35","00105",9.1331265478586
"57","35","00105",11.6370700797716
"58","35","00105",11.6370700797716
"59","35","00105",11.6370700797716
"60","35","00105",10.0015334406683
"61","35","00105",10.0015334406683
"62","35","00105",3.1884554963032
"63","35","00105",3.1884554963032
"64","35","00105",3.1884554963032
"65","35","00105",7.4843356098336
"66","35","00105",7.4843356098336
"67","35","00105",7.4843356098336
"68","35","00105",7.4843356098336
"69","35","00105",8.2925172150238
"70","35","00105",8.2925172150238
"71","35","00105",8.2925172150238
"72","35","00105",8.2925172150238
"73","35","00105",6.2774929229087
"74","35","00105",6.2774929229087
"75","35","00105",6.2774929229087
"76","35","00105",6.2774929229087
"77","35","00105",11.425042558275
"78","35","00105",11.425042558275
"79","35","00105",11.425042558275
"80","35","00105",11.5783222616258
"81","35","00105",11.5783222616258
"82","35","00105",9.1824766064634
"83","35","00105",9.1824766064634
"84","35","00105",9.1824766064634
"85","35","00105",11.6733500378345
"86","35","00105",11.6733500378345
"87","35","00105",11.6733500378345
"88","35","00105",8.9117891747025
"89","35","00105",8.9117891747025
"90","35","00105",8.9117891747025
"91","35","00105",6.3629808352721
"92","35","00105",6.3629808352721
"93","35","00105",6.3629808352721
"94","35","00105",6.3629808352721
"95","35","00105",9.037638190753
"96","35","00105",9.4576100495828
"97","35","00105",9.4576100495828
"98","35","00105",9.4576100495828
"99","35","00105",8.6193978560087
"100","35","00105",8.6193978560087
"101","35","00105",9.9011428370617
"102","35","00105",9.9011428370617
"103","35","00105",6.5946151161747
"104","35","00105",6.5946151161747
"105","35","00105",6.5946151161747
"106","35","00105",7.366580251012
"107","35","00105",7.366580251012
"108","35","00105",7.366580251012
"109","35","00105",13.2537342348002
"110","35","00105",13.2537342348002
"111","35","00105",15.757930745984
"112","35","00105",15.757930745984
"113","35","00105",15.757930745984
"114","35","00105",15.757930745984
"115","35","00105",15.757930745984
"116","35","00105",4.714552879665
"117","35","00105",4.714552879665
"118","35","00105",4.714552879665
"119","35","00105",4.714552879665
"120","35","00105",11.8151843453866
"121","35","00105",11.8151843453866
"122","35","00105",11.8151843453866
"123","35","00105",11.8151843453866
"124","35","00105",7.9780505454707
"125","35","00105",7.9780505454707
"126","35","00105",7.9780505454707
"127","35","00105",7.9780505454707
"128","35","00105",7.6871986358336
"129","35","00105",7.6871986358336
"130","35","00105",7.6871986358336
"131","35","00105",6.6737114786382
"132","35","00105",6.6737114786382
"133","35","00105",11.3751369750584
"134","35","00105",11.3751369750584
"135","35","00105",11.7300082169609
"136","35","00105",11.7300082169609
"137","35","00105",11.7300082169609
"138","35","00105",11.7300082169609
"139","35","00105",9.037638190753
"140","35","00105",2.8572065317343
"141","35","00105",2.8572065317343
"142","35","00105",2.8572065317343
"143","35","00105",2.8572065317343
"144","35","00105",9.6443876706149
"145","35","00105",9.6443876706149
"146","35","00105",10.3049327908116
"147","35","00105",10.3049327908116
"148","35","00105",10.3049327908116
"149","35","00105",10.3049327908116
"150","35","00105",14.4923590939252
"151","35","00105",14.4923590939252
"152","35","00105",14.4923590939252
"153","35","00105",9.5028640621281
"154","35","00105",9.5028640621281
"155","35","00105",9.5028640621281
"156","35","00105",13.1472622791685
"157","35","00105",13.1472622791685
"158","35","00105",13.1472622791685
"159","35","00105",13.1472622791685
"160","35","00105",13.1472622791685
"161","35","00105",8.5551131838346
"162","35","00105",8.5551131838346
"163","35","00105",8.5551131838346
"164","35","00105",8.5551131838346
"165","35","00105",8.2967225256224
"166","35","00105",8.2967225256224
"167","35","00105",13.9999999999979
"168","35","00105",13.3453009713439
"169","35","00105",13.3453009713439
"170","35","00105",10.0054520368006
"171","35","00105",13.2069328712544
"172","35","00105",13.2069328712544
"173","35","00105",9.037638190753
"174","35","00105",10.3242229152848
"175","35","00105",10.3242229152848
