mun7;areap;controle;peso;idade;sexof;ge_pia
2408102;2408102004004;3925812;24,258806;  0;Masculino;[0,15)
2408102;2408102004004;3969933;21,451992;  0;Feminino;[0,15)
2408102;2408102004004;3981130;19,243428;  0;Masculino;[0,15)
2408102;2408102004004;4107991;17,353941;  0;Feminino;[0,15)
2408102;2408102004004;4146750;20,005068;  0;Masculino;[0,15)
2408102;2408102004004;4311811;17,110350;  0;Feminino;[0,15)
2408102;2408102004004;4344787;21,900544;  0;Feminino;[0,15)
2408102;2408102004004;4735984;22,133715;  0;Masculino;[0,15)
2408102;2408102004004;4871173;23,494440;  0;Feminino;[0,15)
2408102;2408102004004;5119457;22,493352;  0;Masculino;[0,15)
2408102;2408102004004;5152329;16,718763;  0;Feminino;[0,15)
2408102;2408102004004;5516005;21,007129;  0;Feminino;[0,15)
2408102;2408102004004;5572109;17,635455;  0;Feminino;[0,15)
2408102;2408102004004;5734883;17,864102;  0;Feminino;[0,15)
2408102;2408102004004;5816697;27,586567;  0;Feminino;[0,15)
2408102;2408102004004;5944616;19,336394;  0;Feminino;[0,15)
2408102;2408102004004;6068596;21,396493;  0;Feminino;[0,15)
2408102;2408102004004;6152411;18,588831;  0;Masculino;[0,15)
2408102;2408102004004;6163708;18,492011;  0;Masculino;[0,15)
2408102;2408102004005;  70932;14,934855;  0;Feminino;[0,15)
2408102;2408102004005; 518658;26,085138;  0;Masculino;[0,15)
2408102;2408102004005; 607215;24,997391;  0;Masculino;[0,15)
2408102;2408102004005;1145989;19,571686;  0;Feminino;[0,15)
2408102;2408102004005;1187491;23,457663;  0;Feminino;[0,15)
2408102;2408102004005;1298875;19,427532;  0;Masculino;[0,15)
2408102;2408102004005;1300899;12,665715;  0;Feminino;[0,15)
2408102;2408102004005;1337691; 7,932136;  0;Feminino;[0,15)
2408102;2408102004005;1385567;31,941966;  0;Masculino;[0,15)
2408102;2408102004005;1445755;24,279174;  0;Masculino;[0,15)
2408102;2408102004005;1798466;16,286179;  0;Feminino;[0,15)
2408102;2408102004005;2266657;11,594741;  0;Feminino;[0,15)
2408102;2408102004005;2705286;10,873907;  0;Feminino;[0,15)
2408102;2408102004005;2889796;25,953648;  0;Feminino;[0,15)
2408102;2408102004005;2992459;13,261034;  0;Feminino;[0,15)
2408102;2408102004005;3636913; 9,423416;  0;Masculino;[0,15)
2408102;2408102004005;3677106;15,465957;  0;Feminino;[0,15)
2408102;2408102004005;3700136;24,476244;  0;Masculino;[0,15)
2408102;2408102004005;3754879;18,844904;  0;Feminino;[0,15)
2408102;2408102004005;3756549;32,093494;  0;Masculino;[0,15)
2408102;2408102004005;3774533;23,923416;  0;Feminino;[0,15)
2408102;2408102004005;3923730;14,130652;  0;Feminino;[0,15)
2408102;2408102004005;4681282; 5,758697;  0;Feminino;[0,15)
2408102;2408102004005;5113866;25,194997;  0;Masculino;[0,15)
2408102;2408102004005;5116415;19,326962;  0;Feminino;[0,15)
2408102;2408102004005;5219535;13,419633;  0;Feminino;[0,15)
2408102;2408102004005;5219535;13,419633;  0;Masculino;[0,15)
2408102;2408102004005;5402975;15,465957;  0;Feminino;[0,15)
2408102;2408102004005;5467172;25,085068;  0;Feminino;[0,15)
2408102;2408102004005;5480240;14,669617;  0;Feminino;[0,15)
2408102;2408102004005;6181101;30,899628;  0;Masculino;[0,15)
2408102;2408102004006; 119571;18,130372;  0;Feminino;[0,15)
2408102;2408102004006; 946474;19,040657;  0;Feminino;[0,15)
2408102;2408102004006;1281021;19,041675;  0;Feminino;[0,15)
2408102;2408102004006;2946774; 9,665508;  0;Feminino;[0,15)
2408102;2408102004006;2946774; 9,665508;  0;Feminino;[0,15)
2408102;2408102004006;3764614;18,310602;  0;Masculino;[0,15)
2408102;2408102004006;4986049;20,100700;  0;Masculino;[0,15)
2408102;2408102004006;5364512;27,013843;  0;Masculino;[0,15)
